MANDT,VBELN,AUART,VKORG,VTWEG,SPART,KUNNR,AUDAT,ERDAT,WAERK,GBSTK,BSTNK
100,5000000290,OR,3000,20,00,0000100090,2025-07-08,2025-07-09,EGP,B,PO-46032
100,5000000291,OR,3000,20,01,0000100069,2026-05-24,2026-05-24,EGP,B,PO-89390
100,5000000292,OR,1000,10,01,0000100086,2026-02-25,2026-02-26,EGP,B,PO-99020
100,5000000293,OR,1000,10,01,0000100053,2026-02-27,2026-02-27,EGP,C,PO-58453
100,5000000294,OR,2000,20,01,0000100042,2025-09-22,2025-09-23,EGP,B,PO-83059
100,5000000295,ZOR,1000,20,00,0000100092,2026-02-25,2026-02-25,EGP,A,PO-29805
100,5000000296,OR,1000,20,01,0000100061,2025-12-20,2025-12-20,EGP,,PO-70108
100,5000000297,OR,2000,10,01,0000100014,2025-09-27,2025-09-28,EGP,C,PO-89142
100,5000000298,ZOR,2000,20,01,0000100056,2025-03-10,2025-03-10,EGP,C,PO-10796
100,5000000299,OR,3000,20,01,0000100075,2025-03-03,2025-03-03,EGP,C,PO-44590
100,5000000300,OR,2000,20,01,0000100026,2026-02-04,2026-02-04,EGP,B,PO-75863
100,5000000301,ZOR,1000,10,00,0000100023,2025/01/01,2025-01-01,EGP,C,PO-10680
100,5000000302,OR,1000,20,01,0000100080,2025-04-15,2025-04-16,EGP,C,PO-76141
100,5000000303,OR,1000,20,01,0000100039,2025-01-09,2025-01-10,EGP,A,PO-68060
100,5000000304,OR,2000,20,00,0000100027,2025-07-12,2025-07-13,EGP,C,PO-23180
100,5000000305,OR,1000,10,01,0000100031,2025-05-27,2025-05-27,EGP,C,PO-64653
100,5000000306,ZOR,2000,10,00,0000100016,2025-11-05,2025-11-05,EGP,B,PO-62703
100,5000000307,OR,2000,20,01,0000100087,,2025-03-05,EGP,A,PO-13569
100,5000000308,OR,2000,10,01,0000100099,2025-08-16,2025-08-16,EGP,C,PO-31314
100,5000000309,OR,1000,10,01,0000100019,2026-07-30,2026-07-31,EGP,A,PO-61631
100,5000000310,ZOR,1000,20,01,0000100048,2025-05-05,2025-05-05,EGP,B,PO-36507
100,5000000311,OR,2000,10,01,0000100083,2025-07-18,2025-07-19,EGP,A,PO-79845
100,5000000312,OR,1000,20,00,0000100042,2025-12-15,2025-12-16,EGP,,PO-35650
100,5000000313,ZOR,1000,20,00,0000100032,2026-01-22,2026-01-22,EGP,B,PO-49934
100,5000000314,OR,1000,20,01,0000100081,2026-03-20,2026-03-20,EGP ,C,PO-23264
100,5000000315,ZOR,2000,10,00,0000100033,2026-06-27,2026-06-28,EGP,C,PO-38970
100,5000000316,OR,1000,10,01,0000100018,2026-03-30,2026-03-30,EGP,C,PO-80370
100,5000000317,ZOR,2000,10,01,0000100070,2025-04-02,2025-04-03,EGP,B ,PO-15504
100,5000000318,OR,2000,20,00,0000100076,2026-07-10,2026-07-11,EGP,B,PO-55906
100,5000000319,OR,1000,10,01,0000100039,2025-06-05,2025-06-05,EGP,C,PO-66747
100,5000000320,ZOR,1000,20,00,0000100013,2026-01-18,2026-01-19,EGP,C,PO-51886
100,5000000321,OR,1000,10,01,0000100076,2025-10-31,2025-10-31,EGP,B,PO-50902
100,5000000322,OR,2000,10,00,0000100060,2026-07-05,2026-07-05,EGP,C,PO-79583
100,5000000323,ZOR,2000,10,00,,2025-07-23,2025-07-24,EGP ,C,PO-89123
100,5000000324,OR,3000,20,00,0000100081,2025-09-07,2025-09-08,EGP,C,PO-46778
100,5000000325,OR,2000,10,00,0000100029,2025-01-05,2025-01-05,EGP,B ,PO-97897
100,5000000326,OR,1000,10,00,0000100012,09/06/2026,2026-06-09,EGP,A,PO-27796
100,5000000327,OR,1000,20,00,0000100070,2025-11-24,2025-11-25,EGP,C,PO-12686
100,5000000328,OR,1000,10,00,0000100008,2025-10-18,2025-10-19,EGP,B,PO-12373
100,5000000329,OR,3000,20,00,0000100019,2026-04-11,2026-04-11,EGP,C,PO-25604
100,5000000330,OR,1000,20,00,0000100041,2026-05-29,2026-05-29,EGP,C,PO-20386
100,5000000331,OR,2000,10,00,0000100057,2026-02-22,2026-02-23,EGP,B,PO-20521
100,5000000332,OR,2000,10,00,0000100029,2025-03-13,2025-03-13,EGP,A,PO-56718
100,5000000333,OR,1000,20,01,0000100022,2025-09-16,2025-09-17,EGP,B ,PO-74199
100,5000000334,OR,1000,10,00,0000100014,2025-03-20,2025-03-20,EGP,C,PO-57926
100,5000000335,OR,1000,20,01,0000100037,2026-02-12,2026-02-12,EGP,C,PO-96170
100,5000000336,OR,2000,20,01,0000100021,2025-10-15,2025-10-15,EGP,B,PO-73726
100,5000000337,OR,2000,20,01,0000100059,2026-03-06,2026-03-07,EGP,B,PO-39850
100,5000000338,OR,1000,20,01,0000100038,2025-09-15,2025-09-15,EGP,A,PO-61781
100,5000000339,OR, 1000,10,01,0000100023,2025-03-06,2025-03-06,EGP,B,PO-55544
100,5000000340,OR,1000,10,00,0000100004,2026-04-20,2026-04-20,EGP,B,PO-31153
100,5000000341,OR,1000,10,00,0000100021,2025-07-12,2025-07-12,EGP,C,PO-11109
100,5000000342,OR,1000,10,01,0000100005,2025-10-15,2025-10-16,EGP,,PO-34038
100,5000000343,OR,2000,10,00,0000100018,2026-02-18,2026-02-18,EGP,C,PO-98245
100,5000000344,OR,1000,20,01,0000100037,,2026-01-02,EGP,C,PO-39958
100,5000000345,OR,2000,20,01,0000100091,2025-06-04,2025-06-04,EGP,B,PO-96412
100,5000000346,ZOR,1000,10,01,0000100018,2025-11-23,2025-11-23,EGP,C,PO-29634
100,5000000347,ZOR,3000,10,00,0000100045,2025-03-18,2025-03-18,EGP,C,PO-51980
100,5000000348,OR,1000,10,00,0000100010,2026-06-05,2026-06-06,EGP,C,PO-74283
100,5000000349,OR,3000,10,01,0000100037,2025-01-29,2025-01-29,EGP ,B,PO-20073
100,5000000350,OR,3000,20,01,0000100063,2025-07-13,2025-07-13,EGP,C,PO-35775
100,5000000351,OR,1000,20,01,0000100005,2025-03-24,2025-03-24,EGP,C,PO-32643
100,5000000352,OR,2000,20,00,0000100037,2025-04-29,2025-04-30,EGP,C,PO-42791
100,5000000353,ZOR,2000,10,00,0000100095,2026/06/21,2026-06-22,EGP,C,PO-93308
100,5000000354,OR,1000,10,01,0000100018,2025-02-05,2025-02-05,EGP,C,PO-95570
100,5000000355,OR,2000,10,01,0000100005,2026-02-17,2026-02-18,EGP,C,PO-62469
100,5000000356,OR,2000,10,00,0000100095,2025-02-24,2025-02-24,EGP,B ,PO-58220
100,5000000357,ZOR,2000,20,01,0000100035,2025-06-14,2025-06-14,EGP,C,PO-13593
100,5000000358,OR,2000,20,01,0000100045,2025-04-06,2025-04-06,EGP,C,PO-93467
100,5000000359,OR,1000,10,01,0000100043,2025-01-22,2025-01-22,EGP,C,PO-66716
100,5000000360,OR,1000,20,01,0000100028,2025-02-24,2025-02-24,EGP,C,PO-27371
100,5000000361,OR,1000,10,01,0000100001,18/11/2025,2025-11-18,EGP,C,PO-56472
100,5000000362,ZOR,3000,10,00,0000100047,2025-03-03,2025-03-03,EGP,C,PO-17235
100,5000000363,ZOR,1000,10,01,0000100063,2025-05-21,2025-05-21,EGP,C,PO-39999
100,5000000364,OR,3000,20,01,0000100060,2026-03-06,2026-03-06,EGP,C,PO-60188
100,5000000365,ZOR,1000,20,00,0000100017,2026-03-26,2026-03-27,EGP,C,PO-24862
100,5000000366,OR,3000,20,00,0000100020,2025-03-27,2025-03-27,EGP,C,PO-43999
100,5000000367,OR,2000,20,00,0000100091,2025-11-25,2025-11-25,EGP,A,PO-78863
100,5000000368,OR,1000,20,00,0000100095,2025-01-28,2025-01-29,EGP,C,PO-51246
100,5000000369,OR,1000,20,01,0000100034,2025-10-12,2025-10-12,EGP ,C,PO-78922
100,5000000370,OR,2000,20,00,0000100038,,2025-10-13,EGP,A,PO-22998
100,5000000371,ZOR,2000,20,01,0000100042,,2025-03-29,EGP,,PO-44702
100,5000000372,OR,1000,10,01,0000100027,2025-03-03,2025-03-03,EGP,C,PO-70452
100,5000000373,OR,3000,10,01,0000100064,2026-01-31,2026-01-31,EGP,C,PO-41645
100,5000000374,ZOR,3000,20,01,0000100011,2025-09-10,2025-09-11,EGP,C,PO-57168
100,5000000375,OR,1000,10,00,0000100020,2025-12-17,2025-12-17,EGP,C,PO-73201
100,5000000376,OR,2000,20,00,0000100004,2026-06-07,2026-06-08,egp,A,PO-98961
100,5000000377,OR,2000,20,00,0000100029,2025/03/13,2025-03-14,EGP ,C,PO-75615
100,5000000378,OR,1000,20,00,0000100063,2025-01-16,2025-01-16,EGP,A,PO-52798
100,5000000379,OR,1000,10,00,0000100071,2026-07-26,2026-07-27,EGP,A,PO-22203
100,5000000380,OR,2000,10,01,0000100067,2025-04-18,2025-04-19,EGP,C,PO-38545
100,5000000381,ZOR,1000,10,00,0000100078,2026-07-30,2026-07-30,EGP,C,PO-38516
100,5000000382,ZOR,2000,10,01,0000100052,2025-09-12,2025-09-13,EGP,C,PO-51334
100,5000000383,OR,1000,20,01,0000100077,2026-01-12,2026-01-12,EGP,B,PO-96212
100,5000000384,OR,1000,10,01,0000100004,2026-01-19,2026-01-19,EGP,A,PO-39032
100,5000000385,OR,3000,10,00,0000100029,2026-07-25,2026-07-25,EGP,B,PO-14641
100,5000000386,OR, 1000,20,01,0000100058,2025-08-23,2025-08-23,EGP,C,PO-84750
100,5000000387,OR,1000,10,00,0000100088,2026-07-07,2026-07-07,EGP,C,PO-43846
100,5000000388,OR,2000,10,00,0000100098,2025-08-15,2025-08-15,EGP,B,PO-17000
100,5000000389,OR,2000,10,00,0000100057,2026-05-11,2026-05-11,EGP,C,PO-91293
100,5000000390,OR,3000,20,00,0000100043,2026-01-14,2026-01-14,EGP,A,PO-18446
100,5000000391,OR,1000,20,01,0000100031,2026-02-07,2026-02-07,EGP,complete,PO-59022
100,5000000392,OR,1000,20,01,0000100012,2025/09/07,2025-09-07,EGP,C,PO-70593
100,5000000393,ZOR,1000,20,01,0000100085,2025-08-17,2025-08-17,EGP,B,PO-67816
100,5000000394,OR,3000,10,00,0000100075,2026-02-07,2026-02-07,EGP,C,PO-86092
100,5000000395,OR,2000,20,00,0000100093,2025-07-05,2025-07-06,EGP,C,PO-38971
100,5000000396,OR,3000,10,01,0000100007,2026-05-20,2026-05-20,EGP,C,PO-92211
100,5000000397,OR,2000,20,00,0000100017,2025-01-09,2025-01-10,EGP,C,PO-73652
100,5000000398,OR,3000,10,01,0000100036,2026-06-08,2026-06-08,,B,PO-42649
100,5000000399,ZOR,1000,20,00,0000100033,2025-05-24,2025-05-25,EGP,A,PO-83035
100,5000000400,OR,2000,10,00,0000100004,2026-06-12,2026-06-12,EGP,C,PO-32840
100,5000000401,ZOR,3000,20,00,0000100018,2025-04-08,2025-04-08,EGP,A,PO-63585
100,5000000402,OR,1000,20,00,0000100084,2025/03/01,2025-03-01,EGP,C,PO-26700
100,5000000403,OR,1000,10,01,0000100092,2025-12-13,2025-12-13,EGP,C,PO-41373
100,5000000404,ZOR,1000,20,00,0000100015,2025-07-03,2025-07-03,EGP,C,PO-64078
100,5000000405,OR,2000,20,00,0000100059,2025-10-30,2025-10-30,EGP,C,PO-57098
100,5000000406,OR,1000,20,01,0000100063,2026-01-21,2026-01-21,EGP,A,PO-52554
100,5000000407,ZOR,3000,10,01,0000100067,2025-12-31,2025-12-31,EGP,A,PO-95736
100,5000000408,OR,1000,20,01,0000100079,2025-11-07,2025-11-07,EGP,C,PO-37896
100,5000000409,OR,2000,20,01,0000100079,2026-01-13,2026-01-13,EGP,C,PO-95083
100,5000000410,OR,3000,10,00,0000100056,2025-08-23,2025-08-23,EGP,C,PO-54257
100,5000000411,OR,3000,10,01,0000100022,2025-03-17,2025-03-18,EGP,C,PO-11663
100,5000000412,OR,1000,20,00,0000100069,2026-01-02,2026-01-03,EGP,C,PO-45936
100,5000000413,OR,2000,20,01,0000100099,2026-02-17,2026-02-18,EGP,A,PO-42706
100,5000000414,OR,1000,10,00,0000100055,2026-04-29,2026-04-29,EGP,B,PO-81711
100,5000000415,OR,2000,10,01,0000100060,2026-06-03,2026-06-03,EGP,A,PO-25801
100,5000000416,ZOR,3000,20,00,0000100088,2025-09-16,2025-09-17,EGP,C,PO-99356
100,5000000417,OR,3000,20,01,0000100040,2025-09-14,2025-09-14,EGP,A,PO-16471
100,5000000418,OR,2000,10,00,0000100073,2025-08-24,2025-08-24,EGP,C,PO-48228
100,5000000419,ZOR,2000,10,01,0000100041,2025-08-04,2025-08-05,EGP,C,PO-86867
100,5000000420,OR,1000,20,01,0000100082,2026-03-23,2026-03-23,EGP,C,PO-37691
100,5000000421,OR,3000,10,01,0000100045,2026-07-26,2026-07-26,EGP,C,PO-26271
100,5000000422,OR,1000,20,01,0000100071,2026-03-25,2026-03-25,egp,C,PO-40522
100,5000000423,OR,1000,10,01,0000100084,2026-02-23,2026-02-23,EGP,C,PO-44343
100,5000000424,OR,2000,20,00,0000100061,2025-09-05,2025-09-05,EGP,A,PO-25013
100,5000000425,ZOR,1000,10,01,0000100029,2026-01-09,2026-01-09,EGP,C,PO-38052
100,5000000426,OR,1000,20,01,0000100046,2026-04-06,2026-04-06,EGP,C,PO-15637
100,5000000427,OR, 3000,20,00,0000100083,2026-04-11,2026-04-12,EGP,B,PO-70931
100,5000000428,OR,2000,20,00,0000100074,2025-05-08,2025-05-08,EGP,,PO-14649
100,5000000429,OR, 1000,20,01,0000100022,2026-02-19,2026-02-19,EGP,A,PO-60268
100,5000000430,OR,2000,10,00,0000100044,2025/09/12,2025-09-12,EGP,C,PO-17208
100,5000000431,OR,2000,20,00,0000100065,2025-02-22,2025-02-23,EGP,C,PO-22933
100,5000000432,OR,1000,20,00,0000100091,2026-05-12,2026-05-13,EGP,C,PO-22738
100,5000000433,OR,2000,10,00,0000100085,2026/02/15,2026-02-16,egp,C,PO-23381
100,5000000434,OR,1000,20,00,0000100033,2026-04-11,2026-04-12,EGP,C,PO-30637
100,5000000435,OR,1000,20,00,0000100047,2025-01-03,2025-01-03,EGP,C,PO-64054
100,5000000436,OR,2000,20,01,0000100093,2025-01-15,2025-01-15,EGP,C,PO-18509
100,5000000437,OR,1000,20,00,0000100094,2026-01-09,2026-01-09,EGP ,B,PO-62245
100,5000000438,OR,2000,20,00,0000100014,2025-01-17,2025-01-17,EGP,C,PO-66815
100,5000000439,OR,1000,20,01,0000100022,2025-09-29,2025-09-30,EGP,C,PO-44532
100,5000000440,OR,1000,10,01,0000100095,2026-02-05,2026-02-05,EGP,B,PO-39231
100,5000000441,OR,3000,10,00,0000100092,2025-01-05,2025-01-05,EGP,C,PO-20791
100,5000000442,OR,1000,20,01,0000100057,2025-06-18,2025-06-18,EGP,C,PO-20873
100,5000000443,OR,2000,20,01,0000100042,2025-04-29,2025-04-29,EGP,C,PO-87540
100,5000000444,OR,1000,10,01,0000100038,2026-03-13,2026-03-13,EGP,C,PO-24395
100,5000000445,OR,1000,10,00,0000100006,2026-03-17,2026-03-17,EGP,A,PO-41825
100,5000000446,OR, 3000,10,00,0000100038,2026-04-25,2026-04-26,EGP,C,PO-28477
100,5000000447,OR,2000,10,00,0000100069,2025-02-25,2025-02-25,EGP,B,PO-77879
100,5000000448,OR,2000,10,00,0000100052,2025-03-01,2025-03-01,EGP,C,PO-15005
100,5000000449,OR,1000,10,00,0000100088,2025-07-06,2025-07-07,EGP,A,PO-43156
100,5000000450,OR, 1000,10,00,0000100010,2025-01-29,2025-01-29,EGP,C,PO-17015
100,5000000451,OR,1000,20,00,0000100053,2026-06-17,2026-06-17,EGP,C,PO-88420
100,5000000452,OR,1000,20,00,0000100064,2026-06-29,2026-06-29,EGP,C,PO-41778
100,5000000453,OR,1000,20,00,0000100015,2025-11-27,2025-11-28,EGP,B,PO-20882
100,5000000454,OR,2000,10,00,0000100095,2025-08-08,2025-08-08,EGP,B,PO-25470
100,5000000455,OR,1000,10,00,0000100006,2026-02-02,2026-02-02,EGP,C,PO-25219
100,5000000456,OR,1000,20,01,0000100022,2026-04-06,2026-04-06,EGP,C,PO-51710
100,5000000457,OR,1000,20,01,0000100081,2025-03-25,2025-03-26,EGP,A,PO-39477
100,5000000458,OR,2000,10,00,0000100088,2026-02-18,2026-02-18,EGP,A,PO-24010
100,5000000459,OR,2000,20,00,0000100066,2026/02/18,2026-02-19,EGP,C,PO-37381
100,5000000460,OR,1000,10,01,0000100043,2025-05-29,2025-05-30,EGP,A,PO-98151
100,5000000461,OR,1000,20,01,0000100041,2025-03-06,2025-03-06,EGP,C,PO-66687
100,5000000462,ZOR,3000,20,01,0000100098,2025-07-29,2025-07-29,EGP,C,PO-98574
100,5000000463,OR,2000,20,00,0000100061,2025-02-15,2025-02-15,EGP,C,PO-11245
100,5000000464,OR,1000,20,00,0000100054,2025-06-14,2025-06-14,EGP,C,PO-36136
100,5000000465,OR,1000,20,01,0000100039,2025-03-16,2025-03-17,EGP,C,PO-65660
100,5000000466,OR,1000,20,01,0000100072,2025-01-02,2025-01-02,EGP,C,PO-63940
100,5000000467,OR,2000,20,01,0000100021,2026-03-25,2026-03-25,EGP,C,PO-92083
100,5000000468,OR,1000,20,00,0000100085,2026-07-18,2026-07-18,EGP,C,PO-88161
100,5000000469,OR,1000,20,00,0000100004,2026-07-04,2026-07-04,EGP,B,PO-31189
100,5000000470,OR,1000,10,01,0000100070,2025-11-08,2025-11-08,EGP,c,PO-83331
100,5000000471,OR,3000,20,01,0000100099,2026-08-12,2026-08-12,EGP,C,PO-61064
100,5000000472,OR,2000,10,00,0000100089,2025-03-27,2025-03-27,EGP,C,PO-24702
100,5000000473,OR,1000,10,00,0000100060,2026-05-22,2026-05-22,EGP,C,PO-56843
100,5000000474,OR,2000,20,01,0000100067,2025-11-14,2025-11-15,EGP,B,PO-78327
100,5000000475,OR,1000,20,01,0000100065,03/10/2025,2025-10-03,EGP,C,PO-69210
100,5000000476,ZOR,1000,10,01,0000100049,2025-01-21,2025-01-21,EGP,C,PO-65684
100,5000000477,OR,1000,20,00,,2026-13-05,2025-02-13,EGP,C,PO-63438
100,5000000478,OR,1000,20,00,0000100082,2025-01-11,2025-01-11,EGP,C,PO-72521
100,5000000479,OR,2000,20,01,0000100044,2025-04-01,2025-04-01,EGP,complete,PO-54229
100,5000000480,OR,1000,10,00,0000100057,2026-05-16,2026-05-16,EGP,C,PO-73022
100,5000000481,OR,3000,20,01,0000100049,26/12/2025,2025-12-26,EGP,C,PO-92193
100,5000000482,OR,1000,20,00,0000100097,2025-03-16,2025-03-16,EGP,C,PO-70054
100,5000000483,OR,1000,20,01,,2025-02-03,2025-02-03,EGP,C,PO-37416
100,5000000484,ZOR,3000,10,00,0000100056,2025-10-30,2025-10-30,EGP,B,PO-55163
100,5000000485,OR,2000,10,00,0000100031,2025-08-05,2025-08-06,EGP,C,PO-76340
100,5000000486,OR,1000,20,00,0000100049,2025-10-27,2025-10-27,EGP,C,PO-84240
100,5000000487,OR,2000,20,00,0000100066,2025-03-23,2025-03-23,EGP,C,PO-48274
100,5000000488,OR,2000,20,00,,2025-12-23,2025-12-24,EGP,C,PO-31705
100,5000000489,OR,2000,10,00,0000100011,2026-02-24,2026-02-25,EGP,C,PO-97007
100,5000000490,OR,1000,20,01,0000100057,03/10/2025,2025-10-04,EGP,C,PO-81861
100,5000000491,OR,2000,10,01,,2026-05-20,2026-05-20,EGP,C,PO-23890
100,5000000492,ZOR,2000,20,00,0000100042,2025-02-10,2025-02-10,EGP,B,PO-70450
100,5000000493,OR,2000,20,00,0000100035,2025-12-10,2025-12-11,EGP,B,PO-10349
100,5000000494,OR,1000,20,01,0000100012,2025-03-10,2025-03-10,EGP,C,PO-36106
100,5000000495,OR,1000,20,00,0000100040,2025-06-29,2025-06-30,EGP ,C,PO-28043
100,5000000496,OR,1000,20,01,0000100032,2025-02-14,2025-02-14,EGP ,B,PO-17748
100,5000000497,OR,1000,10,01,0000100017,2026-08-13,2026-08-13,EGP,C,PO-17330
100,5000000498,OR,2000,10,01,0000100077,2025-02-12,2025-02-13,EGP,C,PO-73191
100,5000000499,OR,1000,10,01,0000100059,2026-01-20,2026-01-20,EGP,C,PO-69450
100,5000000500,OR,1000,20,00,0000100049,2025-08-14,2025-08-14,EGP,C,PO-74217
100,5000000501,OR,1000,10,00,0000100042,,2026-03-05,EGP,C,PO-99436
100,5000000502,OR,2000,10,01,0000100022,2026-02-23,2026-02-23,EGP,B,PO-98025
100,5000000503,OR,1000,20,01,0000100099,2025-06-21,2025-06-21,EGP,C,PO-43026
100,5000000504,OR,3000,10,01,0000100072,2026/01/26,2026-01-26,,C,PO-89246
100,5000000505,ZOR,3000,20,01,0000100081,2026-03-17,2026-03-17,EGP,B ,PO-81254
100,5000000506,OR,3000,10,00,0000100068,2025-12-04,2025-12-05,EGP,C,PO-50015
100,5000000507,OR,1000,10,01,0000100091,2026-13-05,2025-04-18,EGP,C,PO-50331
100,5000000508,OR,1000,20,00,0000100020,2025-12-06,2025-12-07,EGP,C,PO-34414
100,5000000509,OR,1000,10,00,0000100062,2026-06-09,2026-06-10,EGP,B,PO-36801
100,5000000510,OR,1000,10,00,0000100068,2025-10-17,2025-10-17,EGP,C,PO-55017
100,5000000511,ZOR,3000,10,00,0000100009,2025-06-02,2025-06-02,EGP,C,PO-92479
100,5000000512,OR,1000,20,01,0000100096,2025-04-04,2025-04-04,EGP,B,PO-72420
100,5000000513,OR,1000,10,01,0000100078,2025-06-25,2025-06-25,EGP,C,PO-81236
100,5000000514,OR,1000,10,01,0000100041,2025-01-14,2025-01-15,EGP,c,PO-71390
100,5000000515,OR,2000,20,00,0000100055,2026-08-05,2026-08-05,EGP,B,PO-95040
100,5000000516,OR,2000,20,00,0000100017,2025-12-21,2025-12-21,EGP,C,PO-76173
100,5000000517,OR,1000,20,01,0000100004,2025-10-17,2025-10-17,EGP,C,PO-66474
100,5000000518,OR,1000,20,00,0000100003,2026-06-27,2026-06-27,EGP,complete,PO-53008
100,5000000519,OR,1000,20,00,0000100008,2025-08-29,2025-08-30,EGP,B,PO-97615
100,5000000520,OR,1000,20,01,,2025-11-04,2025-11-04,EGP,C,PO-93284
100,5000000521,OR,3000,20,01,0000100092,2025-03-31,2025-03-31,EGP,B,PO-92461
100,5000000522,ZOR,2000,20,00,0000100085,2025/03/27,2025-03-27,egp,C,PO-90840
100,5000000523,OR,1000,20,00,0000100037,2025-08-10,2025-08-11,EGP,B,PO-72515
100,5000000524,OR,2000,10,00,0000100043,2025-01-25,2025-01-25,EGP,B ,PO-97563
100,5000000525,OR,3000,10,00,0000100087,2026-02-18,2026-02-18,EGP,C,PO-29948
100,5000000526,ZOR,3000,20,01,0000100092,2025-03-18,2025-03-18,EGP,C,PO-44107
100,5000000527,OR,1000,20,00,0000100057,28/04/2026,2026-04-28,EGP,C,PO-47458
100,5000000528,OR,1000,20,01,0000100075,2026-01-24,2026-01-24,EGP,C,PO-47008
100,5000000529,OR,3000,10,01,0000100091,2025-12-20,2025-12-20,EGP,C,PO-14887
100,5000000530,OR,1000,10,00,0000100098,2025-07-07,2025-07-08,EGP,C,PO-92692
100,5000000531,OR, 3000,10,01,0000100015,2026-06-01,2026-06-01,EGP,B,PO-31628
100,5000000532,OR,2000,10,00,0000100075,2025-06-03,2025-06-03,EGP,A,PO-10489
100,5000000533,OR, 1000,10,01,0000100013,2026-03-29,2026-03-29,EGP,C,PO-67862
100,5000000534,ZOR,1000,20,01,0000100099,2026-07-08,2026-07-08,EGP,C,PO-65123
100,5000000535,OR,1000,10,01,0000100090,2025-05-14,2025-05-15,EGP,complete,PO-76273
100,5000000536,OR,2000,20,00,0000100048,2025-03-17,2025-03-18,EGP,C,PO-12406
100,5000000537,OR,3000,20,01,0000100032,2025-07-04,2025-07-04,EGP,C,PO-87712
100,5000000538,ZOR,1000,10,00,0000100082,2025-10-07,2025-10-07,EGP,C,PO-71700
100,5000000539,OR,1000,20,00,,2026-04-19,2026-04-19,EGP,A,PO-20470
100,5000000540,OR,1000,20,01,0000100024,2026-03-16,2026-03-16,EGP,C,PO-23952
100,5000000541,ZOR,1000,20,01,0000100032,2026/02/11,2026-02-11,EGP,B,PO-62652
100,5000000542,OR,2000,20,00,,2025-03-29,2025-03-29,EGP,B,PO-59233
100,5000000543,OR,1000,20,01,0000100081,2026-06-02,2026-06-02,EGP,C,PO-46911
100,5000000544,OR,2000,10,01,0000100011,2025-12-16,2025-12-16,EGP,C,PO-98433
100,5000000545,OR,1000,20,01,0000100018,2026-08-07,2026-08-07,EGP,complete,PO-48492
100,5000000546,OR,1000,20,00,0000100047,2026-06-19,2026-06-19,EGP,B,PO-63244
100,5000000547,OR,1000,20,00,0000100092,2026-05-26,2026-05-26,EGP,B,PO-99263
100,5000000548,OR, 1000,10,00,0000100073,2025-07-01,2025-07-02,EGP,B,PO-38073
100,5000000549,OR,1000,10,00,0000100014,2025-08-11,2025-08-11,EGP,B,PO-76902
100,5000000550,OR,1000,10,00,0000100075,2025-06-16,2025-06-16,EGP,C,PO-82226
100,5000000551,OR,1000,20,00,0000100036,2026-01-13,2026-01-13,EGP,B,PO-90649
100,5000000552,OR,3000,20,00,0000100075,2025-04-04,2025-04-04,EGP,C,PO-52083
100,5000000553,OR,2000,20,01,0000100072,20/05/2026,2026-05-20,EGP,A,PO-73257
100,5000000554,OR,1000,10,00,0000100002,2025-04-25,2025-04-25,EGP,C,PO-57257
100,5000000555,OR,1000,20,01,0000100038,2026-05-05,2026-05-05,EGP,C,PO-93905
100,5000000556,OR,1000,20,00,0000100050,2026-02-01,2026-02-01,EGP,C,PO-68543
100,5000000557,OR,1000,20,01,0000100059,2026-06-26,2026-06-26,EGP,C,PO-57244
100,5000000558,ZOR,1000,10,01,0000100032,2026-02-28,2026-02-28,EGP,A,PO-38249
100,5000000559,OR,1000,20,00,0000100059,2025-10-27,2025-10-28,EGP,A,PO-16491
100,5000000560,OR,2000,10,00,0000100077,2025-10-04,2025-10-04,EGP,B ,PO-74772
100,5000000561,ZOR,1000,20,00,0000100055,2025-01-02,2025-01-03,EGP,B,PO-60015
100,5000000562,OR,1000,20,01,0000100091,2025-01-03,2025-01-04,EGP,C,PO-68170
100,5000000563,OR,1000,10,01,0000100086,2025-04-17,2025-04-17,EGP,B,PO-43556
100,5000000564,OR,1000,10,01,0000100039,2025-04-02,2025-04-02,egp,C,PO-77077
100,5000000565,OR,1000,10,01,0000100095,2025-02-04,2025-02-05,EGP,C,PO-75575
100,5000000566,OR,1000,20,00,0000100001,2025-01-30,2025-01-31,EGP,C,PO-57127
100,5000000567,ZOR,1000,20,00,0000100084,23/07/2026,2026-07-23,EGP,A,PO-57085
100,5000000568,OR,2000,10,00,0000100065,2025-10-02,2025-10-02,EGP,c,PO-71317
100,5000000569,OR,2000,20,00,0000100054,2025-04-17,2025-04-17,EGP,C,PO-79785
100,5000000570,OR,2000,10,00,0000100051,2025-02-18,2025-02-19,EGP,B,PO-62620
100,5000000571,OR,2000,10,00,0000100080,2025-06-19,2025-06-19,EGP,C,PO-96073
100,5000000572,OR,2000,10,00,0000100044,2026-05-21,2026-05-22,EGP,C,PO-18093
100,5000000573,OR,1000,10,00,0000100012,,2025-08-07,EGP,C,PO-67813
100,5000000574,OR,1000,20,00,0000100002,2026-01-13,2026-01-13,EGP,C,PO-89569
100,5000000575,OR,1000,20,01,0000100069,2025-01-07,2025-01-07,EGP,C,PO-80683
100,5000000576,OR,1000,20,00,0000100079,2026-02-20,2026-02-20,EGP,B,PO-44520
100,5000000577,OR,1000,20,01,0000100085,15/08/2025,2025-08-15,EGP,C,PO-98347
100,5000000578,OR,2000,10,00,0000100017,2025-06-13,2025-06-13,EGP,B,PO-83487
